Position,Cost
1,218158380
2,217670884
3,217184397
4,216698913
5,216214430
6,215730950
7,215248473
8,214766998
9,214286524
10,213807055
11,213328584
12,212851120
13,212374654
14,211899192
15,211424735
16,210951280
17,210478828
18,210007381
19,209536935
20,209067494
21,208599053
22,208131615
23,207665180
24,207199744
25,206735311
26,206271879
27,205809450
28,205348019
29,204887593
30,204428169
31,203969744
32,203512329
33,203055911
34,202600498
35,202146090
36,201692681
37,201240275
38,200788870
39,200338465
40,199889061
41,199440658
42,198993258
43,198546858
44,198101463
45,197657071
46,197213678
47,196771290
48,196329904
49,195889517
50,195450132
51,195011748
52,194574366
53,194137983
54,193702603
55,193268224
56,192834845
57,192402468
58,191971092
59,191540719
60,191111349
61,190682980
62,190255615
63,189829251
64,189403890
65,188979534
66,188556175
67,188133824
68,187712473
69,187292124
70,186872779
71,186454433
72,186037090
73,185620747
74,185205407
75,184791068
76,184377731
77,183965396
78,183554061
79,183143731
80,182734402
81,182326073
82,181918747
83,181512423
84,181107099
85,180702775
86,180299454
87,179897131
88,179495812
89,179095493
90,178696175
91,178297860
92,177900544
93,177504233
94,177108922
95,176714613
96,176321305
97,175929002
98,175537699
99,175147404
100,174758105
101,174369818
102,173982528
103,173596243
104,173210959
105,172826677
106,172443397
107,172061116
108,171679838
109,171299561
110,170920288
111,170542016
112,170164750
113,169788484
114,169413226
115,169038969
116,168665715
117,168293463
118,167922213
119,167551964
120,167182717
121,166814469
122,166447223
123,166080980
124,165715736
125,165351495
126,164988255
127,164626019
128,164264781
129,163904548
130,163545313
131,163187082
132,162829852
133,162473623
134,162118395
135,161764172
136,161410947
137,161058725
138,160707505
139,160357285
140,160008065
141,159659848
142,159312630
143,158966414
144,158621198
145,158276983
146,157933770
147,157591556
148,157250344
149,156910133
150,156570923
151,156232716
152,155895509
153,155559304
154,155224103
155,154889901
156,154556703
157,154224506
158,153893309
159,153563116
160,153233922
161,152905730
162,152578538
163,152252349
164,151927159
165,151602971
166,151279785
167,150957599
168,150636415
169,150316233
170,149997050
171,149678869
172,149361689
173,149045510
174,148730330
175,148416153
176,148102976
177,147790799
178,147479625
179,147169451
180,146860278
181,146552109
182,146244938
183,145938770
184,145633604
185,145329437
186,145026272
187,144724108
188,144422945
189,144122782
190,143823621
191,143525459
192,143228298
193,142932138
194,142636978
195,142342819
196,142049661
197,141757505
198,141466351
199,141176196
200,140887044
201,140598894
202,140311743
203,140025594
204,139740446
205,139456301
206,139173155
207,138891011
208,138609868
209,138329727
210,138050585
211,137772446
212,137495307
213,137219171
214,136944036
215,136669903
216,136396772
217,136124641
218,135853513
219,135583386
220,135314259
221,135046136
222,134779012
223,134512890
224,134247770
225,133983649
226,133720529
227,133458409
228,133197291
229,132937171
230,132678053
231,132419937
232,132162820
233,131906707
234,131651592
235,131397480
236,131144369
237,130892257
238,130641147
239,130391036
240,130141929
241,129893821
242,129646715
243,129400611
244,129155507
245,128911407
246,128668304
247,128426205
248,128185105
249,127945007
250,127705909
251,127467812
252,127230716
253,126994621
254,126759526
255,126525433
256,126292340
257,126060251
258,125829161
259,125599074
260,125369990
261,125141906
262,124914824
263,124688743
264,124463662
265,124239583
266,124016503
267,123794425
268,123573347
269,123353272
270,123134195
271,122916121
272,122699050
273,122482976
274,122267906
275,122053835
276,121840768
277,121628698
278,121417631
279,121207564
280,120998499
281,120790435
282,120583370
283,120377308
284,120172248
285,119968187
286,119765130
287,119563073
288,119362017
289,119161963
290,118962909
291,118764856
292,118567803
293,118371752
294,118176701
295,117982651
296,117789602
297,117597554
298,117406506
299,117216459
300,117027414
301,116839369
302,116652327
303,116466284
304,116281246
305,116097205
306,115914168
307,115732130
308,115551094
309,115371059
310,115192026
311,115013994
312,114836963
313,114660934
314,114485905
315,114311877
316,114138848
317,113966822
318,113795795
319,113625769
320,113456744
321,113288721
322,113121699
323,112955676
324,112790658
325,112626638
326,112463621
327,112301604
328,112140587
329,111980571
330,111821555
331,111663539
332,111506523
333,111350508
334,111195495
335,111041480
336,110888468
337,110736457
338,110585445
339,110435434
340,110286423
341,110138413
342,109991402
343,109845392
344,109700382
345,109556372
346,109413364
347,109271354
348,109130346
349,108990340
350,108851332
351,108713327
352,108576322
353,108440317
354,108305314
355,108171310
356,108038309
357,107906307
358,107775306
359,107645306
360,107516307
361,107388308
362,107261309
363,107135311
364,107010315
365,106886317
366,106763322
367,106641328
368,106520333
369,106400341
370,106281349
371,106163357
372,106046366
373,105930376
374,105815385
375,105701395
376,105588405
377,105476415
378,105365426
379,105255438
380,105146450
381,105038463
382,104931478
383,104825492
384,104720509
385,104616524
386,104513542
387,104411564
388,104310582
389,104210608
390,104111632
391,104013658
392,103916687
393,103820714
394,103725744
395,103631773
396,103538803
397,103446835
398,103355865
399,103265898
400,103176930
401,103088963
402,103001996
403,102916029
404,102831062
405,102747098
406,102664132
407,102582169
408,102501206
409,102421245
410,102342284
411,102264323
412,102187363
413,102111403
414,102036446
415,101962487
416,101889531
417,101817577
418,101746622
419,101676670
420,101607717
421,101539765
422,101472813
423,101406861
424,101341909
425,101277959
426,101215008
427,101153058
428,101092109
429,101032160
430,100973211
431,100915263
432,100858314
433,100802366
434,100747418
435,100693471
436,100640523
437,100588576
438,100537629
439,100487683
440,100438739
441,100390793
442,100343851
443,100297908
444,100252967
445,100209026
446,100166085
447,100124145
448,100083206
449,100043266
450,100004328
451,99966390
452,99929453
453,99893516
454,99858580
455,99824646
456,99791712
457,99759779
458,99728847
459,99698916
460,99669987
461,99642056
